AtGeneID,At_RT_35S,At_RT_V,At_RT_EN,At_MZ,At_EP,At_PH,At_MCO,At_COR
AT2G29130,164.61,113.66,101.11,236.37,69.16,60.05,61.83,69.75
AT2G29140,105.45,114.03,138.72,216.68,126.12,245.35,170.61,212.68
AT2G29170,25.63,22.03,24.12,17.84,17.78,18.72,18.08,20.58
AT2G29180,38.84,46,41.36,36.17,40.7,33.72,36.03,39.47
AT2G29190,29.48,22.07,23.4,42.79,24.71,29.27,22.38,39.85
AT2G29210,449.06,615.88,1070.17,155.96,542.73,229.75,436.32,239.92
AT2G29260,103.23,89.89,84,86.81,95.12,86.71,104.12,79.21
AT2G29290,22.42,21.3,22.9,20.26,20.66,21.27,19.79,21.72
AT2G29300,28.91,30.16,28.56,21.08,23.98,24.07,22.97,23.35
AT2G29310,65.96,61.23,84.48,47.14,43.46,51.45,45.11,53.65
AT2G29320,46.1,35.18,54.67,47.3,48.98,39.51,46.06,169.51
AT2G29330,70.46,53.04,161.62,247.85,47.61,66.72,158.36,51.75
AT2G29340,97.93,69.48,125.14,113.37,88.75,70.15,113.23,102.79
AT2G29360,20.01,17.82,18.38,24.31,24.92,26.88,20.69,29.07
AT2G29370,73.43,68.76,68.55,40.23,48.98,46.6,48.18,41.8
AT2G29390,1025.48,736.79,911.38,810.65,506.63,751.85,620.97,824.19
AT2G29400,635.2,605.82,766.13,821.06,545.11,705.85,828.17,814.73
AT2G29410,26.87,23.57,25.94,45.35,33.18,45.56,28.99,23.73
AT2G29420,583.78,431.63,384.31,1768.96,1841.8,928.93,1291.48,1569.78
AT2G29440,84.28,157.15,66.42,362.08,426.4,560.48,202.07,161.27
AT2G29450,40.74,39.21,32.56,41.52,66.19,56.37,73.28,104.17
AT2G29460,35.86,35.85,27.74,32.35,30.92,28.45,26.4,30.34
AT2G29480,51.42,56.78,65.88,41.09,64.71,45.23,49.01,45.36
AT2G29490,100.03,74.18,64.17,400.67,253.77,93.32,217.15,419.3
AT2G29500,45.56,34.37,30.94,63.35,44.75,27.09,44.91,70.4
AT2G29510,253.14,228.08,203.55,318.77,256.89,164.74,162.08,261.69
AT2G29530,102.61,103.67,91.78,517.96,620.09,358.32,946.36,336.7
AT2G29540,133.83,96.81,63.44,191.3,289,154.29,251.75,115.93
AT2G29550,614.16,384.69,512.22,556.65,270.35,342.77,251.38,137.89
AT2G29560,1237.09,856.66,592.61,1390.68,898.23,1152.14,786.54,1400.07
AT2G29570,491.83,568.95,246.7,1255.77,785.58,698.85,812.04,376.09
AT2G29580,72.39,140.03,73.05,76.43,84.81,100.47,72.69,62.64
AT2G29590,46.88,36.13,40.78,96.73,117.56,99.86,100.97,134.15
AT2G29620,18.31,19.34,17.1,17.64,19.49,22.02,24.95,16.89
AT2G29630,126.86,68.07,75.04,154.15,179.02,75.93,90.59,164.75
AT2G29650,57.21,52.56,48.45,50.67,53.74,42.94,47.54,79.55
AT2G29660,822.81,635.97,179.91,1447.06,861.83,873,527.74,433.61
AT2G29670,69.14,43.79,40.69,82.43,64.58,36.19,41.09,38.98
AT2G29680,57.57,67.55,52.28,38.38,35.5,35.43,41.53,34.87
AT2G29690,483.01,559.48,514.3,209.12,238.77,231.18,181.92,142.2
AT2G29700,519.78,608.45,438.49,3628.45,3499.09,2595.44,3063.73,3392.04
AT2G29720,68.38,60.45,63.28,84.72,68.35,77.26,66.06,67.91
AT2G29730,301.19,203.79,156.36,537.57,351.52,205.61,409.1,590.21
AT2G29740,70.81,80.91,59.6,115.87,94.54,80.09,93.4,273.54
AT2G29750,83.57,216.08,179.18,229.33,206.42,203.14,243.56,1421.56
AT2G29760,75.01,48.47,64.82,78.45,65.4,64.46,70.4,64.23
AT2G29780,84.28,77.41,73.82,61.2,57.12,62.21,64.41,66.98
AT2G29890,478.41,603.62,573.75,232.76,373.46,191.46,336.66,80.47
AT2G29900,276.08,293.85,219.1,280.32,227.82,289.06,185.5,348.15
AT2G29920,71.84,58.2,76.13,33.46,36.9,38.39,39.9,44.94
AT2G29940,27.22,28.37,25.95,21.29,19.13,19.38,22.31,24.19
AT2G29960,641.69,657.61,493,1712.18,1015.72,1065.32,756.08,1225.87
AT2G29970,756.93,654.58,487.44,792.78,1165.87,1592.56,577.59,575.04
AT2G29980,496.75,755.36,1509.16,559.69,653.51,523.68,875.22,591.86
AT2G29990,158.78,215.95,133.86,148.78,122.26,111.3,106.17,179.93
AT2G29995,138.62,150.67,206.63,237.7,532.02,279.56,543.17,404.05
AT2G30000,396.36,232.96,145.93,1292.84,1463.22,1444.77,1275.33,1054.55
AT2G30010,310.87,158.53,147.77,314.04,202.12,118.48,135.48,72.93
AT2G30020,172.78,223.08,111.57,443.71,323.84,338.05,351.03,365.35
AT2G30040,180.87,222.15,166.08,197,206.07,152.15,255.91,243.21
AT2G30050,524.27,675.67,550.53,564.21,452.48,598.4,525.47,772.25
AT2G30060,559.75,603.43,311.77,2250.2,1206.44,1524.48,1204.13,1572.97
AT2G30070,75.63,216.44,211.84,93.19,210.5,188.92,181.16,87.22
AT2G30080,333.17,204.32,78.8,471.42,186.43,154.26,225.3,96.87
AT2G30100,448.46,326.31,402.1,358.02,391.88,424.7,369.1,327.01
AT2G30110,1108.8,986.5,1220.87,1539.36,975.23,1351.81,1100.1,1272.52
AT2G30120,16.35,17.07,16.4,18.69,18.21,18.29,18.51,19.65
AT2G30130,32.19,32.85,56.43,20.58,30.84,24.88,42.55,20.39
AT2G30140,447.14,554.06,255.16,269.39,352.86,186.33,353.97,251.96
AT2G30150,329.09,340.67,109.38,295.65,204.82,159.34,235.35,127.08
AT2G30160,247.57,267.03,241.86,250.96,204.01,180.01,182.43,195.88
