X,MCO,EN,V,MZ,QC,X35S,MUSuniq
Os06g0143400,13.55196045,13.20104712,8.685517091,11.89112113,12.76608988,10.5703495,LOC_Os06g05130
Os06g0143100,34.12494994,60.21927438,61.82415338,75.47411843,21.69324143,199.6702042,LOC_Os06g05120
Os06g0143000,11.25486056,7.767724246,11.66772909,5.132527839,6.389399224,11.48957296,LOC_Os06g05110
Os06g0142900,21.60891754,20.89508621,17.98491724,12.32480984,12.99308134,15.07376203,LOC_Os06g05100
Os06g0142800,7.269032572,6.475641417,8.513201928,15.82084051,14.68843303,8.348288329,LOC_Os06g05090
Os06g0142700,28.10654612,26.60216366,24.98421973,63.60356698,40.18391986,34.6196006,LOC_Os06g05080
Os06g0142650,1.531261585,2.098708958,1.752818587,0.377672488,0.433836436,0.438480201,LOC_Os06g05070
Os06g0142600,6.747390521,5.214319889,6.695670024,5.597981805,5.803704695,10.67080538,LOC_Os06g05060
Os06g0142500,1.340648456,2.473899753,0.87105877,0.288298516,1.009350211,0.190409041,LOC_Os06g05050
Os06g0142400,0,0.656504615,1.100842299,0.12823169,1.675207767,5.763643671,LOC_Os06g05020
Os06g0142350,0,0.595212955,7.135030539,0.151765186,2.440116319,1.863074144,LOC_Os06g05010
Os06g0142300,1.83599368,4.465802983,2.525291425,2.274814403,2.681834151,4.151921075,LOC_Os06g05000
Os06g0142200,2.367264117,4.018861212,1.206304846,1.494336779,13.28954621,5.368991068,LOC_Os06g04990
Os06g0141200,1.664271387,1.546949461,1.235726538,1.671863367,1.440943637,2.766619323,LOC_Os06g04920
Os06g0141166,8.583164658,8.320095705,9.921926457,23.18773714,25.82319831,31.80109283,LOC_Os06g04910
Os06g0141100,0.463122594,0,0.705378692,0.964751845,0,3.90904857,LOC_Os06g04900
Os06g0140900,16.37547324,11.18758305,9.818253946,16.41768368,14.37186349,21.43905044,LOC_Os06g04889
Os06g0140800,18.2970937,22.91913526,15.60852052,10.23270213,6.430601666,15.56200955,LOC_Os06g04880
Os06g0140700,48.96627181,46.8379776,48.41043185,17.10680781,28.02966979,6.695571165,LOC_Os06g04870
Os06g0140400,14.0380968,13.21343331,15.8355074,8.754059847,3.691532364,0.521473443,LOC_Os06g04850
Os06g0140200,3.190018917,2.760265904,2.576159943,0.813620803,1.053824029,1.888814143,LOC_Os06g04830
Os06g0140100,5.507234964,4.39064466,5.655934074,11.01706359,11.30590867,11.80444773,LOC_Os06g04820
Os06g0139900,16.13443979,18.17276778,12.65253498,44.77483474,53.53224627,27.99709927,LOC_Os06g04800
Os06g0139800,4.961606684,2.036783491,2.352774146,4.878654167,4.007191148,2.891486283,LOC_Os06g04790
