SlGeneID,Sl_COR,Sl_EN,Sl_EP,Sl_MCO,Sl_MZ,Sl_PH,Sl_V,Sl_QC,Sl_35S
Solyc11g013200.2.1,0.440714113,1.357060587,5.659875445,1.296653832,8.612351684,0.501125182,5.0217144,1.498366026,7.11230273
Solyc11g013210.2.1,0,1.017858266,0,0,0,0,0,0,0
Solyc11g013220.2.1,0.073128983,0.474833131,4.170797006,0,5.249726763,7.689055386,0,0,5.583478278
Solyc11g013240.2.1,1.586597839,0.555873848,2.156283437,0.191049922,4.999551779,9.237427424,0.181166045,0.337747783,4.171615625
Solyc11g013230.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013235.1.1,1.945007566,0.300487092,4.532700346,0,6.122345196,10.36262239,3.764836419,0.409886968,4.179956521
Solyc11g013250.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013270.2.1,2.950978509,1.740478645,5.119853926,4.019755999,8.095053629,0.839701376,0.212463423,0.578532148,10.84416979
Solyc11g013260.2.1,29.81247883,81.66912354,90.03429146,80.47137167,137.8887561,46.47326565,60.18557278,24.11478202,61.99489974
Solyc11g013290.2.1,17.37907228,6.35836391,13.18208282,15.88995294,13.0425328,24.32249915,2.781138054,0,6.550507985
Solyc11g013293.1.1,8.351620037,10.09894076,8.91713872,11.3634391,13.31343118,27.0007333,16.24426671,27.81665112,15.00346206
Solyc11g013295.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013297.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013300.2.1,0.308824267,0.673592622,0.177120909,0.34046449,2.947736764,168.9170849,3.369842504,1.153427761,9.857850416
Solyc11g013310.2.1,16.58668815,19.9051726,3.43695656,3.64583528,56.12186696,10.93052686,167.9516765,16.41645229,82.03997663
Solyc11g013320.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013330.2.1,0.132590954,0.096523283,0.299369986,0,2.154813769,0.553943726,10.6356601,0,4.928335149
Solyc11g013340.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013345.1.1,14.06779523,0,7.713252096,0,3.907253222,0,7.02934697,0,22.94596595
Solyc11g013350.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013360.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013370.2.1,26.13809457,14.1989952,11.89300106,14.7043554,22.05585713,36.83788555,16.60671372,5.268476284,23.94256099
Solyc11g013375.1.1,0,0,0,0,0,0.099455336,0,0,0
Solyc11g013390.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013393.1.1,0,0,0,0,0,0,0,0,0.456802954
Solyc11g013397.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013400.2.1,15.26857202,24.32046394,19.21057451,31.22770841,32.24525157,11.99010081,57.71590899,23.93202179,20.33318611
Solyc11g013410.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013420.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013430.2.1,0,0,0,0,0,0.063266887,0,0,0.048528521
Solyc11g013440.2.1,41.48069632,13.39495668,48.33461689,5.57732289,76.13094661,55.41079641,12.14787616,23.82221952,41.60537811
Solyc11g013450.2.1,0,0,0.094428772,0,0.208608672,1.830374958,0,0,0.658975223
Solyc11g013460.2.1,9.994203115,22.86663524,15.28584915,9.241141142,16.09045862,4.408064669,6.257822595,1.122749602,13.59209958
Solyc11g013463.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013467.1.1,0.281112579,1.871766641,0.075660842,0,0,0,0,0.445051455,0
Solyc11g013480.2.1,0.991404404,0,1.651665465,0,3.344234017,2.574338568,0,0,2.356879682
Solyc11g013490.2.1,38.7292303,61.81795777,33.20206306,41.32159672,36.47199675,49.79108673,72.28229103,48.0538334,31.55366141
Solyc11g013500.1.1,0,0,0,0,0,0,0,0,3.811067687
Solyc11g013520.2.1,20.85223119,6.286989771,14.09028578,9.439776825,23.53717507,19.42731415,9.496734768,14.05142774,21.67551442
Solyc11g013530.2.1,24.21251717,36.23805588,21.32770878,26.32840446,23.16884544,29.49461698,24.3295823,36.31549648,22.26414685
Solyc11g013550.2.1,8.399698567,4.379632761,12.71561012,1.092518569,18.2569599,11.747992,9.795899207,1.600256212,15.42390014
Solyc11g013560.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013570.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013580.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013590.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013600.1.1,0,0,0,0,0,0,0,0,0
Solyc11g013610.2.1,0,0,0,0,0,0,0,0,0
Solyc11g013620.1.1,0,0,0,0,0,0,0,0,0
